Id	Cultivar	RawCoord1	RawCoord2	RawCoord3	RawCoord4	RawCoord5	RawCoord6	RawCoord7	RawCoord8	RawCoord9	RawCoord10	RawCoord11	RawCoord12	RawCoord13	RawCoord14	RawCoord15	RawCoord16	RawCoord17	RawCoord18	RawCoord19	RawCoord20	RawCoord21	RawCoord22	RawCoord23	RawCoord24	RawCoord25	RawCoord26
12	Fr	-0.104464520889892	0.29250600632322	-0.0505156597519284	-0.307280517162214	0.139656060424272	0.286535083372657	-0.186553250317281	0.214684485402418	-0.224676282368019	0.108274588845656	-0.234348718347523	-0.0171343058300354	-0.205018989031116	-0.137350282381657	-0.131311553803525	-0.227724351088586	0.0761039490385701	-0.27568804476677	0.174023728096117	-0.177077515337533	0.254019593906614	-0.0494623227758317	0.268436350506432	0.0897918843498311	0.224649292537279	0.199925291048844
13	Fr	-0.0899504164497188	0.281889104633464	-0.0585653437817011	-0.302154219971447	0.123818316465647	0.305116003946132	-0.177921658211501	0.208619798274193	-0.218705224583938	0.108249990299233	-0.229063792620896	-0.0107618079661962	-0.199997950316533	-0.128648271847826	-0.1436127650977	-0.227419751543398	0.0826434756331603	-0.288338358617432	0.185024659405133	-0.191614366335998	0.262535958508598	-0.0577627217548749	0.261944625791777	0.0921614088735097	0.201850115257672	0.210663192010641
14	Fr	-0.107656475300336	0.298801889869896	-0.0566989472217794	-0.306779136907893	0.136284993037394	0.305444287827298	-0.180663617200094	0.21030851415248	-0.220137204542049	0.10406438259934	-0.229345644507588	-0.0158767873261328	-0.192724510720798	-0.13115512046672	-0.131017641465624	-0.227959401076473	0.0738447057346814	-0.278465219273439	0.17909620706684	-0.189316497672513	0.251143589693232	-0.0581347385945102	0.265939244499979	0.086640359770588	0.211935300926142	0.202427467098079
16	Fr	-0.111154860232074	0.304359859046975	-0.0479608234291842	-0.306588133126147	0.134090396269715	0.284819889730701	-0.187284398782814	0.220636598057049	-0.229512582953823	0.113350956991258	-0.235760431027125	-0.0121711154149134	-0.197432440291583	-0.134675343852685	-0.131808666191032	-0.234356615094432	0.0796328915570678	-0.265917560441364	0.182460029527468	-0.175207785465295	0.259500792507408	-0.0557898891529928	0.269732626337504	0.0764201656448628	0.215497466708472	0.185118973076984
17	Fr	-0.0855928628751692	0.301755269422338	-0.0587192073394246	-0.310576160719306	0.127137084049421	0.312092621591631	-0.161832570076174	0.210735951849479	-0.212221677361897	0.104120272541921	-0.221139572571776	-0.0202287024135978	-0.1969610227059	-0.141036734154333	-0.139264717472543	-0.236979332428368	0.0734774260689532	-0.288831660072714	0.170960781343163	-0.189655611414838	0.247956662611032	-0.0540601244149942	0.254358051287453	0.0967913458019393	0.201841625042861	0.215872864410842
18	Fr	-0.0895449133559649	0.289253496454887	-0.0653750393141046	-0.303658655633744	0.133575426463882	0.308339094083776	-0.166759328957987	0.198033279854231	-0.217057760827962	0.0940315779260417	-0.229456038374819	-0.0241300416371971	-0.206732961843539	-0.136551339142924	-0.141984407091607	-0.225090908842635	0.0716043165817857	-0.284269956450981	0.176455050817947	-0.186788055483838	0.253473282423941	-0.047857730123298	0.267917362864769	0.101704753009665	0.213885010613659	0.216984485986017
19	Fr	-0.093016347585073	0.308303433973253	-0.0420698815040013	-0.311545461605116	0.127036354537371	0.285801681589642	-0.170046131312189	0.221929068096881	-0.225951774146624	0.114788333080848	-0.23804753524452	-0.0117584145265738	-0.197049216990699	-0.136608201085517	-0.132325531249039	-0.24061827459839	0.0842996563836186	-0.27866650639782	0.176324556839068	-0.183590580434951	0.245297817451707	-0.0552998610589276	0.252863811725318	0.0870553739137129	0.212684221095062	0.200209409052958
20	Fr	-0.112315907904389	0.301540059682132	-0.0457224055672562	-0.303663267794882	0.147466587400257	0.293138208888498	-0.186259310661135	0.215128197641679	-0.224328399840971	0.107314085306072	-0.232988202120491	-0.015614391179694	-0.197950614212423	-0.133761399866441	-0.129792628772688	-0.228677597082749	0.0823910581696783	-0.276990983094304	0.177955535341055	-0.188917483988153	0.239465819478186	-0.0574552289963284	0.257863955637333	0.0867603047595021	0.224214513052844	0.201199495724669
21	Fr	-0.0742981521787982	0.282916537634749	-0.0465869047522364	-0.307998762425634	0.136623691233963	0.291459383566281	-0.174005376730212	0.208278746227906	-0.234965200135168	0.105832190276836	-0.253373788200384	-0.0155265290569062	-0.213406447467333	-0.134310516439857	-0.138322620667613	-0.231939601866843	0.0833615379186418	-0.274594005579948	0.176657379748849	-0.168826781512735	0.263259188423054	-0.044982343081424	0.265507965514517	0.090366733067858	0.20954872729272	0.199324949189718
22	Fr	-0.109563665181936	0.298568860424412	-0.051118774509119	-0.307843196854371	0.12480466156952	0.304914821449156	-0.182842781622279	0.21795589685737	-0.215283436571659	0.114347987979483	-0.220998383126518	-0.00691924293640254	-0.18858823204468	-0.12664111558898	-0.128913314379073	-0.226875641396191	0.0810679283141846	-0.291141146790294	0.180845995334553	-0.200793436007923	0.250350503876715	-0.0670477321662773	0.255285203095609	0.0846750346995449	0.204954295244682	0.206798910330473
